name,accel_profile_url,notes
100ms,https://www.accel.com/companies/100ms,
1Balance,https://www.accel.com/companies/1balance,
Aavenir,https://www.accel.com/companies/aavenir,
Acko,https://www.accel.com/companies/acko,
Agrostar,https://www.accel.com/companies/agrostar,
Airmeet,https://www.accel.com/companies/airmeet,
Akridata,https://www.accel.com/companies/akridata,
Anar,https://www.accel.com/companies/anar,
ANSR,https://www.accel.com/companies/ansr,
ApnaMart,https://www.accel.com/companies/apnamart,
Aramya,https://www.accel.com/companies/aramya,
Arivihan,https://www.accel.com/companies/arivihan,
Astro,https://www.accel.com/companies/astro,
Atlas,https://www.accel.com/companies/atlas,
August AI,https://www.accel.com/companies/august-ai,
Axio,https://www.accel.com/companies/axio,
Bachatt,https://www.accel.com/companies/bachatt,
BestDoc,https://www.accel.com/companies/bestdoc,
Binocs,https://www.accel.com/companies/binocs,
Bizongo,https://www.accel.com/companies/bizongo,
BlackBuck,https://www.accel.com/companies/blackbuck,
Bluestone,https://www.accel.com/companies/bluestone,
Book My Show,https://www.accel.com/companies/book-my-show,
Bounce,https://www.accel.com/companies/bounce,
Breathe Well-being,https://www.accel.com/companies/breathe-well-being,
Brick&Bolt,https://www.accel.com/companies/brick-bolt,
Brik,https://www.accel.com/companies/brik,
CapriCoast,https://www.accel.com/companies/capricoast,
Captain Fresh,https://www.accel.com/companies/captain-fresh,
CityMall,https://www.accel.com/companies/citymall,
Credgenics,https://www.accel.com/companies/credgenics,
Cult.fit,https://www.accel.com/companies/cult-fit,
Curefoods,https://www.accel.com/companies/curefoods,
Doctor Droid,https://www.accel.com/companies/doctor-droid,
EduPristine,https://www.accel.com/companies/edupristine,
Fabheads,https://www.accel.com/companies/fabheads,
FabHotels,https://www.accel.com/companies/fabhotels,
Fashinza,https://www.accel.com/companies/fashinza,
Fibmold,https://www.accel.com/companies/fibmold,
Finbots.AI,https://www.accel.com/companies/finbots-ai,
Finrep,https://www.accel.com/companies/finrep,
First Club,https://www.accel.com/companies/first-club,
Fixxly,https://www.accel.com/companies/fixxly,
Flipkart,https://www.accel.com/companies/flipkart,
Forus Health,https://www.accel.com/companies/forus-health,
Fundly,https://www.accel.com/companies/fundly-ai,
Gently,https://www.accel.com/companies/gently,
GlowRoad,https://www.accel.com/companies/glowroad,
Gut Wellness Club,https://www.accel.com/companies/gut-wellness-club,
Haber,https://www.accel.com/companies/haber,
Hashnode,https://www.accel.com/companies/hashnode,
HomeLane,https://www.accel.com/companies/homelane,
HouseEazy,https://www.accel.com/companies/houseeazy,
Indifi,https://www.accel.com/companies/indifi,
Infra.Market,https://www.accel.com/companies/infra-market,
Innovist,https://www.accel.com/companies/innovist,
Jify,https://www.accel.com/companies/jify,
Jiraaf,https://www.accel.com/companies/jiraaf,
Juspay,https://www.accel.com/companies/juspay,
KGeN,https://www.accel.com/companies/kgen,
Knight Fintech,https://www.accel.com/companies/knight-fintech,
LetsVenture,https://www.accel.com/companies/letsventure,
Locofy,https://www.accel.com/companies/locofy,
Material Depot,https://www.accel.com/companies/material-depot,
Maverix,https://www.accel.com/companies/maverix,
Mech Mocha,https://www.accel.com/companies/mech-mocha,
Myntra,https://www.accel.com/companies/myntra,
Nabhdrishti Aerospace,https://www.accel.com/companies/nabhdrishti-aerospace,
Nurix AI,https://www.accel.com/companies/nurix-ai,
Oolka,https://www.accel.com/companies/oolka,
Pave Bank,https://www.accel.com/companies/pave-bank,SEA (Singapore) - verify before treating as Indian
Plazza,https://www.accel.com/companies/plazza,
Powerup Money,https://www.accel.com/companies/powerup-money,
Pred,https://www.accel.com/companies/pred,
Presentations.ai,https://www.accel.com/companies/presentations-ai,
Rapido,https://www.accel.com/companies/rapido,
RecommerceX,https://www.accel.com/companies/recommercex,
Rocket,https://www.accel.com/companies/rocket,
Sahi,https://www.accel.com/companies/sahi,
Sarla Aviation,https://www.accel.com/companies/sarla-aviation,
Scimplify,https://www.accel.com/companies/scimplify,
Seezo,https://www.accel.com/companies/seezo,
Simplismart,https://www.accel.com/companies/simplismart,
Spinny,https://www.accel.com/companies/spinny,
Supabase,https://www.accel.com/companies/supabase,verify HQ/India relevance
SureWaves,https://www.accel.com/companies/surewaves,
Swiggy,https://www.accel.com/companies/swiggy,
Swish,https://www.accel.com/companies/swish,
Taxi For Sure,https://www.accel.com/companies/taxi-for-sure,likely defunct/acquired - verify still hiring
Teabox,https://www.accel.com/companies/teabox,
Testsigma,https://www.accel.com/companies/testsigma,
The Lafz,https://www.accel.com/companies/the-lafz,
Tracxn,https://www.accel.com/companies/tracxn,
Travelstop,https://www.accel.com/companies/travelstop,
Trinkerr,https://www.accel.com/companies/trinkerr,
Truemeds,https://www.accel.com/companies/truemeds,
Uni Cards,https://www.accel.com/companies/uni-cards,
Unmannd,https://www.accel.com/companies/unmannd,
Uppercase,https://www.accel.com/companies/uppercase,
UrbanCompany,https://www.accel.com/companies/urbancompany,
USPL Wrogn,https://www.accel.com/companies/uspl,name likely "Wrogn" (USPL brand) - verify
Vaya,https://www.accel.com/companies/vaya,
Vedantu,https://www.accel.com/companies/vedantu,
Venwiz,https://www.accel.com/companies/venwiz,
Vinculum,https://www.accel.com/companies/vinculum,
Virgio,https://www.accel.com/companies/virgio,
Wiom,https://www.accel.com/companies/wiom,
Xalts,https://www.accel.com/companies/xalts,
Xendit,https://www.accel.com/companies/xendit,SEA (Indonesia) - not an Indian company
Zed,https://www.accel.com/companies/zed,
Zetwerk,https://www.accel.com/companies/zetwerk,
Zolve,https://www.accel.com/companies/zolve,US/India cross-border fintech - verify HQ
