name,official_domain,detected_ats,board_url,career_page,accel_job_board_url,accel_profile_url,confidence,notes
100ms,,,,,https://jobs.accel.com/companies/100ms-2,https://www.accel.com/companies/100ms,low,
1Balance,,,,,https://jobs.accel.com/companies/1balance,https://www.accel.com/companies/1balance,low,
Aavenir,,,,,https://jobs.accel.com/companies/aavenir-2,https://www.accel.com/companies/aavenir,low,
Acko,,,,,https://jobs.accel.com/companies/acko-2,https://www.accel.com/companies/acko,low,
Agrostar,,,,,https://jobs.accel.com/companies/agrostar-2,https://www.accel.com/companies/agrostar,low,
Airmeet,,,,,https://jobs.accel.com/companies/airmeet,https://www.accel.com/companies/airmeet,low,
Akridata,,,,,https://jobs.accel.com/companies/akridata-2,https://www.accel.com/companies/akridata,low,
Anar,,,,,,https://www.accel.com/companies/anar,low,
ANSR,,,,,,https://www.accel.com/companies/ansr,low,
ApnaMart,,,,,,https://www.accel.com/companies/apnamart,low,
Aramya,,,,,,https://www.accel.com/companies/aramya,low,
Arivihan,,,,,,https://www.accel.com/companies/arivihan,low,
Astro,,,,,,https://www.accel.com/companies/astro,low,
Atlas,,,,,,https://www.accel.com/companies/atlas,low,
August AI,,,,,,https://www.accel.com/companies/august-ai,low,
Axio,,,,,,https://www.accel.com/companies/axio,low,
Bachatt,,,,,,https://www.accel.com/companies/bachatt,low,
BestDoc,app.com,,,,https://jobs.accel.com/companies/bestdoc-2,https://www.accel.com/companies/bestdoc,medium,
Binocs,,,,,https://jobs.accel.com/companies/binocs-2,https://www.accel.com/companies/binocs,low,
Bizongo,,,,,https://jobs.accel.com/companies/bizongo,https://www.accel.com/companies/bizongo,low,
BlackBuck,,,,,https://jobs.accel.com/companies/blackbuck,https://www.accel.com/companies/blackbuck,low,
Bluestone,,,,,,https://www.accel.com/companies/bluestone,low,
Book My Show,,,,,,https://www.accel.com/companies/book-my-show,low,
Bounce,,,,,,https://www.accel.com/companies/bounce,low,
Breathe Well-being,,,,,https://jobs.accel.com/companies/breathe-well-being,https://www.accel.com/companies/breathe-well-being,low,
Brick&Bolt,,,,,https://jobs.accel.com/companies/brick-bolt-2,https://www.accel.com/companies/brick-bolt,low,
Brik,,,,,,https://www.accel.com/companies/brik,low,
CapriCoast,,,,,,https://www.accel.com/companies/capricoast,low,
Captain Fresh,,,,,https://jobs.accel.com/companies/captain-fresh-2,https://www.accel.com/companies/captain-fresh,low,
CityMall,,,,,https://jobs.accel.com/companies/citymall-2,https://www.accel.com/companies/citymall,low,
Credgenics,,,,,https://jobs.accel.com/companies/credgenics-2,https://www.accel.com/companies/credgenics,low,
Cult.fit,,,,,,https://www.accel.com/companies/cult-fit,low,
Curefoods,,,,,https://jobs.accel.com/companies/curefoods-2,https://www.accel.com/companies/curefoods,low,
Doctor Droid,,,,,https://jobs.accel.com/companies/doctor-droid,https://www.accel.com/companies/doctor-droid,low,
EduPristine,,,,,https://jobs.accel.com/companies/edupristine-2,https://www.accel.com/companies/edupristine,low,
Fabheads,,,,,,https://www.accel.com/companies/fabheads,low,
FabHotels,,,,,https://jobs.accel.com/companies/fabhotels,https://www.accel.com/companies/fabhotels,low,
Fashinza,,,,,https://jobs.accel.com/companies/fashinza-2,https://www.accel.com/companies/fashinza,low,
Fibmold,,,,,https://jobs.accel.com/companies/fibmold,https://www.accel.com/companies/fibmold,low,
Finbots.AI,,,,,https://jobs.accel.com/companies/finbots-ai-2,https://www.accel.com/companies/finbots-ai,low,
Finrep,,,,,,https://www.accel.com/companies/finrep,low,
First Club,,,,,,https://www.accel.com/companies/first-club,low,
Fixxly,,,,,,https://www.accel.com/companies/fixxly,low,
Flipkart,,,,,https://jobs.accel.com/companies/flipkart-2,https://www.accel.com/companies/flipkart,low,
Forus Health,,,,,https://jobs.accel.com/companies/forus-health,https://www.accel.com/companies/forus-health,low,
Fundly,,,,,https://jobs.accel.com/companies/fundly-ai,https://www.accel.com/companies/fundly-ai,low,
Gently,co.id,,,,https://jobs.accel.com/companies/gently-2,https://www.accel.com/companies/gently,medium,
GlowRoad,,,,,,https://www.accel.com/companies/glowroad,low,
Gut Wellness Club,,,,,,https://www.accel.com/companies/gut-wellness-club,low,
Haber,water.com,,,,https://jobs.accel.com/companies/haber-2,https://www.accel.com/companies/haber,medium,
Hashnode,,,,,https://jobs.accel.com/companies/hashnode,https://www.accel.com/companies/hashnode,low,
HomeLane,,,,,https://jobs.accel.com/companies/homelane-2,https://www.accel.com/companies/homelane,low,
HouseEazy,,,,,https://jobs.accel.com/companies/houseeazy,https://www.accel.com/companies/houseeazy,low,
Indifi,,,,,,https://www.accel.com/companies/indifi,low,
Infra.Market,,,,,https://jobs.accel.com/companies/infra-market-2,https://www.accel.com/companies/infra-market,low,
Innovist,,,,,,https://www.accel.com/companies/innovist,low,
Jify,,,,,https://jobs.accel.com/companies/jify-2,https://www.accel.com/companies/jify,low,
Jiraaf,,,,,https://jobs.accel.com/companies/jiraaf,https://www.accel.com/companies/jiraaf,low,
Juspay,,,,,,https://www.accel.com/companies/juspay,low,
KGeN,,,,,https://jobs.accel.com/companies/kgen,https://www.accel.com/companies/kgen,low,
Knight Fintech,,,,,https://jobs.accel.com/companies/knight-fintech-2,https://www.accel.com/companies/knight-fintech,low,
LetsVenture,,,,,https://jobs.accel.com/companies/letsventure-2,https://www.accel.com/companies/letsventure,low,
Locofy,,,,,https://jobs.accel.com/companies/locofy,https://www.accel.com/companies/locofy,low,
Material Depot,,,,,https://jobs.accel.com/companies/material-depot,https://www.accel.com/companies/material-depot,low,
Maverix,,,,,,https://www.accel.com/companies/maverix,low,
Mech Mocha,,,,,,https://www.accel.com/companies/mech-mocha,low,
Myntra,,,,,,https://www.accel.com/companies/myntra,low,
Nabhdrishti Aerospace,,,,,,https://www.accel.com/companies/nabhdrishti-aerospace,low,
Nurix AI,,,,,,https://www.accel.com/companies/nurix-ai,low,
Oolka,,,,,,https://www.accel.com/companies/oolka,low,
Pave Bank,,,,,https://jobs.accel.com/companies/pave-bank-2,https://www.accel.com/companies/pave-bank,low,SEA (Singapore) - verify before treating as Indian
Plazza,,,,,,https://www.accel.com/companies/plazza,low,
